pl-pl,cocktail.Needed,co jest potrzebne do zrobienia {drink}
pl-pl,cocktail.Needed,czego potrzebujesz do zrobienia {drink}
pl-pl,cocktail.Needed,czego potrzebuję do zrobienia {drink}
pl-pl,cocktail.Needed,jakie są składniki {drink}
pl-pl,cocktail.Needed,jaki jest składnik {drink}
pl-pl,cocktail.Recipie,jak zrobię {drink}
pl-pl,cocktail.Recipie,jak mam zrobić {drink}
pl-pl,cocktail.Recipie,powiedz nam jak zrobić {drink}
pl-pl,cocktail.Recipie,powiedz mi jak zrobić {drink}
pl-pl,cocktail.Recipie,podaj nam instrukcje dla {drink}
pl-pl,cocktail.Recipie,podaj mi instrukcje dla {drink}
pl-pl,cocktail.Recipie,jak zrobić {drink}
pl-pl,cocktail.Recipie,jaki jest przepis na {drink}
pl-pl,wikiquote-skill.random,powiedz mi mądrość
pl-pl,wikiquote-skill.random,powiedz mi cytat
pl-pl,wikiquote-skill.random,powiedz mi jakiś mądrość
pl-pl,wikiquote-skill.random,powiedz mi jakiś cytat
pl-pl,wikiquote-skill.random,powiedz mi jakąś mądrość
pl-pl,wikiquote-skill.random,powiedz mi jakąś cytat
pl-pl,wikiquote-skill.random,o powiedz mi mądrość
pl-pl,wikiquote-skill.random,o powiedz mi cytat
pl-pl,wikiquote-skill.random,o powiedz mi jakiś mądrość
pl-pl,wikiquote-skill.random,o powiedz mi jakiś cytat
pl-pl,wikiquote-skill.random,o powiedz mi jakąś mądrość
pl-pl,wikiquote-skill.random,o powiedz mi jakąś cytat
pl-pl,wikiquote-skill.random,daj mi mądrość
pl-pl,wikiquote-skill.random,daj mi cytat
pl-pl,wikiquote-skill.random,daj mi jakiś mądrość
pl-pl,wikiquote-skill.random,daj mi jakiś cytat
pl-pl,wikiquote-skill.random,daj mi jakąś mądrość
pl-pl,wikiquote-skill.random,daj mi jakąś cytat
pl-pl,wikiquote-skill.random,zacytuj kogoś mądrego
pl-pl,wikiquote-skill.random,zacytuj coś mądrego
pl-pl,wikiquote-skill.random,zacytuj kogoś
pl-pl,wikiquote-skill.random,zacytuj coś
pl-pl,wikiquote-skill.random,potrzebuję jakiejś inspiracji
pl-pl,wikiquote-skill.random,potrzebuję jakiejś oświecenia
pl-pl,wikiquote-skill.random,potrzebuję jakiejś mądrości
pl-pl,wikiquote-skill.random,potrzebuję jakiegoś inspiracji
pl-pl,wikiquote-skill.random,potrzebuję jakiegoś oświecenia
pl-pl,wikiquote-skill.random,potrzebuję jakiegoś mądrości
pl-pl,wikiquote-skill.random,poszukuję jakiejś inspiracji
pl-pl,wikiquote-skill.random,poszukuję jakiejś oświecenia
